gene	B cells	Monocytes	T cells CD4	T cells CD8	NK T cells	Dendritic cells	NK cells	Megakaryocytes
GNB4	18.79372664	32.97458297	3.885230196	2.683860692	5.690882123	28.6006403	2.842638659	6.535248267
GNG11	11.67042367	8.832821145	3.835577415	3.078791855	7.265758734	3.648718797	4.879826293	1809.617374
GNG3	12.20960949	1.215408005	1.146879113	1.135214802	1	1.869009052	1	1
GNG7	136.9820124	12.118452	6.943575755	6.810497284	15.11026619	20.78355973	1.71706331	5.403957065
GNG8	3.686343922	1.507864536	1.514771295	1.231641808	1	1	1	20.87075722
GNGT2	5.559789823	11.32843345	3.13050341	4.713592895	6.787320152	20.38956071	34.49906683	4.301343317
GNLY	57.64454571	52.88737421	53.99521983	387.4537858	1438.719188	34.72628309	8101.588082	382.4904051
GNPTAB	19.86335098	25.35877693	18.54510112	29.20171236	36.38761604	30.35659969	149.5065039	25.56028265
GOLGA8M	1	1	1.255287776	1.228615009	1	1	5.340358888	1
GOLGA8N	1.186012009	4.397427297	1.91784735	1.239422436	1	4.253434072	12.47085799	1
GOLGA8Q	1.120360711	1.591569102	1.24788271	1	3.329194921	2.219928756	11.63160558	1
GOLGA8R	1.202121998	2.116412952	1.820871622	1.322461438	1.545789561	2.978518689	12.04396812	5.268032437
GOLM1	1.116460979	8.445690519	1	1.54713105	2.103109887	1	10.29211761	5.355761147
GP1BA	1.68288109	1.848226955	3.25261451	2.841063131	5.392095164	1.699187265	1	108.0710698
GP6	1.846940256	1.524005595	1.719847487	1.13157867	2.870633598	1	1	29.72971919
GP9	2.170688389	2.931624917	1.575046724	1.76741612	4.008206387	1.95013682	1	635.6642957
GPA33	3.146882256	3.292123431	9.779773769	4.609659303	1.823810089	1.783279183	1	1
GPAT3	3.754959688	26.62273948	5.224234317	3.048875034	8.244625646	55.62436057	1	13.45633573
GPBAR1	4.006400505	88.52008945	4.778772766	3.519400728	7.762526833	51.99682142	4.277013604	45.22595886
GPM6A	13.4902229	1.308507792	1	1.48165414	5.107168338	1	1	1
GPR141	1.481463924	10.48347223	1.466936151	2.829679428	1	4.69761488	15.56134121	3.029266075
GPR146	1.752521538	1.403741478	6.62549184	2.281134948	2.603057351	1.743065711	1	1
GPR162	1.457993731	9.774762908	1.69551305	1	1	8.269495336	1	1
